index,job_title,minimum_salary,maximum_salary,rating,company_name,location,headquarters,size,founded,company_age,type_of_ownership,industry,sector,revenue
34,Data Engineer,75000,131000,3.6,Chef,United States,"Seattle, WA",201 to 500 employees,2008,16,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD)
35,Associate Data Scientist,75000,131000,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,25,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
36,Business Intelligence Analyst,75000,131000,2.7,Sandhills Global,"Lincoln, NE","Lincoln, NE",1001 to 5000 employees,1978,46,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
37,Data Scientist,75000,131000,2.7,A Place for Mom,"Overland Park, KS","New York, NY",501 to 1000 employees,2000,24,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
38,Data Scientist,75000,131000,2.2,Great-Circle Technologies,"Chantilly, VA","Chantilly, VA",1 to 50 employees,2000,24,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
39,Senior Analyst/Data Scientist,75000,131000,3.4,Edmunds.com,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966,58,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
40,Data Analyst,75000,131000,3.1,"Cambridge Associates, LLC","Boston, MA","Boston, MA",501 to 1000 employees,1973,51,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD)
41,Machine Learning Engineer,75000,131000,3.4,Liberty Mutual Insurance,"Portsmouth, NH","Boston, MA",10000+ employees,1912,112,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
42,Data Analyst I,75000,131000,2.6,Cenlar,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,1958,66,Company - Private,,,Unknown / Non-Applicable
43,Scientist - Molecular Biology,75000,131000,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,5,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD)
44,Data Scientist,75000,131000,4.2,Eversight,"Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,11,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
45,"Computational Scientist, Machine Learning",75000,131000,4.1,Pfizer,"Cambridge, MA","New York, NY",10000+ employees,1849,175,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
46,Senior Data Scientist,75000,131000,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,12,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
47,Data Scientist,75000,131000,3.3,Intellectual Ventures,"Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,24,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
48,Data Scientist,75000,131000,3.7,GovTech,"San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,8,Government,Federal Agencies,Government,Unknown / Non-Applicable
49,Data Scientist,75000,131000,4.3,Quick Base,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,25,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
50,Data Analyst,75000,131000,4.8,Giving Assistant,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2014,10,Company - Private,Advertising & Marketing,Business Services,$10+ billion (USD)
51,Data Scientist,75000,131000,3.7,Takeda,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,243,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
52,Data Scientist,75000,131000,4.0,Netskope,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,12,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
53,Jr. Data Engineer,75000,131000,4.8,IT Concepts,Remote,"Vienna, VA",51 to 200 employees,2003,21,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
54,E-Commerce Data Analyst,75000,131000,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,25,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
55,Data Analytics Engineer,75000,131000,3.7,Summa Health System,"Akron, OH","Akron, OH",5001 to 10000 employees,1926,98,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
56,Senior Data Scientist,75000,131000,3.5,Benson Hill,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,12,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
57,Product Data Scientist - Ads Data Science,75000,131000,4.1,Twitter,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,18,Company - Public,Internet,Information Technology,$25 to $50 million (USD)
58,Data Scientist,75000,131000,3.2,Postmates - Corporate HQ,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,13,Company - Private,Express Delivery Services,Transportation & Logistics,$10+ billion (USD)
59,Data Scientist - Intermediate,75000,131000,4.5,Envision LLC,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,30,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
60,Data Analyst,75000,131000,3.8,Swiss Re,"Fort Wayne, IN","Zurich, Switzerland",10000+ employees,1863,161,Company - Public,Insurance Agencies & Brokerages,Insurance,$1 to $2 billion (USD)
61,Machine Learning Engineer,75000,131000,4.5,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 to 500 employees,2010,14,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
62,Data Scientist,79000,131000,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990,34,Company - Public,Consumer Electronics & Appliances Stores,Retail,$100 to $500 million (USD)
63,Data Scientist,79000,131000,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010,14,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
64,Global Data Analyst,79000,131000,3.8,Dermalogica,"Carson, CA","Carson, CA",201 to 500 employees,1986,38,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable
65,Data Engineer,79000,131000,3.7,Bayview Asset Management,"Coral Gables, FL","Coral Gables, FL",1001 to 5000 employees,1995,29,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million (USD)
66,Data Scientist,79000,131000,3.7,Via Transportation,"New York, NY","New York, NY",501 to 1000 employees,2012,12,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
67,Data Scientist,79000,131000,4.0,Grid Dynamics,"Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006,18,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
68,Data & Machine Learning Scientist,79000,131000,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,9,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
69,Data Scientist - Machine Learning,79000,131000,2.5,CareDx,"Brisbane, CA","Brisbane, CA",1 to 50 employees,0,0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
70,Data Engineer (Remote),79000,131000,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,18,Company - Public,Advertising & Marketing,Business Services,$2 to $5 billion (USD)
71,"Data Scientist, Applied Machine Learning - Bay Area",79000,131000,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,9,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
72,Principal Data Scientist,79000,131000,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,42,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
73,Business Data Analyst,79000,131000,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",10000+ employees,1925,99,Company - Public,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD)
74,Purification Scientist,79000,131000,4.9,New England Biolabs,"Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,50,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
75,Data Analyst,79000,131000,3.4,Allied Solutions,"Carmel, IN","Carmel, IN",1001 to 5000 employees,2001,23,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
76,"Data Engineer, Enterprise Analytics",79000,131000,3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,1993,31,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
77,Data Scientist,79000,131000,3.5,The Knot Worldwide,"Washington, DC","Chevy Chase, MD",1001 to 5000 employees,2019,5,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
78,Data Scientist,79000,131000,2.9,IFG Companies,"New York, NY","Hartford, CT",201 to 500 employees,1985,39,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
79,Data Scientist 3 (718),79000,131000,3.3,Amyris,"Emeryville, CA","Emeryville, CA",201 to 500 employees,2003,21,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
80,"Real World Science, Data Scientist",79000,131000,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,111,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
81,Data Scientist,79000,131000,3.6,Powertek,"Washington, DC","Rockville, MD",51 to 200 employees,2001,23,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
82,Data Engineer,79000,131000,4.7,Object Partners,"Saint Louis, MO","Minneapolis, MN",51 to 200 employees,1996,28,Company - Private,Consulting,Business Services,$25 to $50 million (USD)
83,Data Scientist - Image and Video Analytics,79000,131000,4.9,The Mom Project,"Longmont, CO","Chicago, IL",1 to 50 employees,2016,8,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
84,Data Scientist,79000,131000,4.3,Lightspeed Systems,"Austin, TX","Austin, TX",51 to 200 employees,1999,25,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
85,"Data Science Manager, Payment Acceptance - USA",79000,131000,4.0,Stripe,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2010,14,Company - Private,Internet,Information Technology,$10 to $25 million (USD)
86,Data Analyst,79000,131000,2.6,Comprehensive Healthcare,"Yakima, WA","Yakima, WA",501 to 1000 employees,1971,53,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
87,Data Scientist / Applied Mathematician,79000,131000,4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA","Santa Cruz, CA",51 to 200 employees,2003,21,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
88,Machine Learning Engineer,79000,131000,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,12,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
89,Data Scientist,79000,131000,3.9,Mars,United States,"Mc Lean, VA",10000+ employees,1911,113,Company - Private,Food & Beverage Manufacturing,Manufacturing,$5 to $10 million (USD)
90,Patient Safety- Associate Data Scientist,79000,131000,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,111,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
91,Machine Learning Engineer,79000,131000,4.4,NuWave Solutions,"Springfield, VA","Mc Lean, VA",51 to 200 employees,1999,25,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
92,Senior Data Scientist,79000,131000,4.2,ManTech,"Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968,56,Company - Public,Research & Development,Business Services,$2 to $5 billion (USD)
93,(Sr.) Data Scientist -,79000,131000,3.6,Merrick Bank,Utah,"South Jordan, UT",201 to 500 employees,1997,27,Company - Private,Banks & Credit Unions,Finance,$10 to $25 million (USD)
94,Data Scientist,99000,132000,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001 to 5000 employees,1986,38,Company - Private,Consulting,Business Services,$10+ billion (USD)
95,Staff Data Scientist - Analytics,99000,132000,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,41,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
96,Data Analytics Engineer,99000,132000,3.5,QOMPLX,"Reston, VA","Reston, VA",51 to 200 employees,2015,9,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
97,"Data Scientist, Kinship - NYC/Portland",99000,132000,3.9,Mars,"New York, NY","Mc Lean, VA",10000+ employees,1911,113,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable
98,Senior Data Scientist,99000,132000,3.8,GutCheck,"Denver, CO","Denver, CO",51 to 200 employees,2009,15,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
99,Applied Technology Researcher / Data Scientist,99000,132000,3.5,Inter-American Development Bank,"Washington, DC","Washington, DC",1001 to 5000 employees,1959,65,Other Organization,Banks & Credit Unions,Finance,$2 to $5 billion (USD)
100,Data Scientist,99000,132000,4.9,Avlino,New Jersey,"Holmdel, NJ",1 to 50 employees,2013,11,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD)
101,Machine Learning Engineer,99000,132000,4.4,Stratagem Group,"Aurora, CO","Aurora, CO",1 to 50 employees,2007,17,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
102,Health Data Scientist - Biomedical/Biostats,99000,132000,4.1,Evidation,"Santa Barbara, CA","San Mateo, CA",51 to 200 employees,2012,12,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
103,Senior Data Scientist,99000,132000,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,42,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
104,Staff Data Scientist,99000,132000,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,41,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
105,Data Scientist,99000,132000,3.8,Tecolote Research,"Hill AFB, UT","Goleta, CA",501 to 1000 employees,1973,51,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD)
106,Sr Data Engineer (Sr BI Developer),99000,132000,3.2,Tivity Health,"Chandler, AZ","Franklin, TN",501 to 1000 employees,1981,43,Company - Public,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
107,Data Engineer,99000,132000,2.9,hc1,"Indianapolis, IN","Indianapolis, IN",51 to 200 employees,2011,13,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
108,Lead Data Scientist,99000,132000,4.1,HP Inc.,"San Diego, CA","Palo Alto, CA",10000+ employees,1939,85,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
109,Data Scientist,99000,132000,3.7,SAIC,"Chantilly, VA","Reston, VA",10000+ employees,2013,11,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
110,RFP Data Analyst,99000,132000,3.2,AllianceBernstein,"Nashville, TN","New York, NY",1001 to 5000 employees,1967,57,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
111,Data Analyst,99000,132000,4.9,Big Huge Games,"Timonium, MD","Lutherville Timonium, MD",51 to 200 employees,2013,11,Subsidiary or Business Segment,Video Games,Media,Unknown / Non-Applicable
112,Data Scientist (TS/SCI),99000,132000,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,0,0,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD)
113,Data Engineer,99000,132000,5.0,Phantom AI,"Burlingame, CA","Burlingame, CA",1 to 50 employees,2016,8,Company - Private,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
114,Data Scientist,99000,132000,4.0,Noblis,"Reston, VA","Reston, VA",1001 to 5000 employees,1996,28,Nonprofit Organization,Consulting,Business Services,Unknown / Non-Applicable
115,Data Scientist,99000,132000,3.6,Spring Health,"New York, NY","New York, NY",1 to 50 employees,2016,8,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
116,Software Engineer - Data Science,99000,132000,4.0,ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,2002,22,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
117,Data Analyst/Engineer,99000,132000,3.2,AllianceBernstein,"Nashville, TN","New York, NY",1001 to 5000 employees,1967,57,Company - Public,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
118,NGS Scientist,99000,132000,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,5,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
119,Data Engineer,99000,132000,4.8,GetWellNetwork,"Bethesda, MD","Bethesda, MD",201 to 500 employees,2000,24,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
120,Data Scientist,99000,132000,4.5,TACG Solutions,"Dayton, OH","Beavercreek, OH",51 to 200 employees,2006,18,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
121,Senior Data Engineer,99000,132000,4.7,Scoop,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,9,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
122,Senior Data Scientist,99000,132000,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,12,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
123,Data Engineer,99000,132000,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,18,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable
124,Business Intelligence Analyst,99000,132000,3.4,Montway Inc,"Schaumburg, IL","Schaumburg, IL",51 to 200 employees,2006,18,Company - Private,Shipping,Transportation & Logistics,$25 to $50 million (USD)
125,Sr. ML/Data Scientist - AI/NLP/Chatbot,99000,132000,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,28,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD)
126,Data Scientist,90000,109000,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,8,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
127,Data Scientist,90000,109000,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,2014,10,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
128,Data Engineer,90000,109000,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,18,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD)
129,Sr. ML/Data Scientist - AI/NLP/Chatbot,90000,109000,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,28,Company - Public,Telecommunications Services,Telecommunications,$100 to $500 million (USD)
130,Data Scientist,90000,109000,5.0,Notion Labs,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2016,8,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
131,Senior Data Engineer,90000,109000,4.9,Lendio,"Lehi, UT","Lehi, UT",201 to 500 employees,2011,13,Company - Private,Lending,Finance,Unknown / Non-Applicable
132,Data Engineer,90000,109000,4.4,Direct Agents,"Culver City, CA","New York, NY",51 to 200 employees,2003,21,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD)
133,Data Scientist,90000,109000,3.3,NAVEX Global,"Lake Oswego, OR","Lake Oswego, OR",1001 to 5000 employees,2012,12,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
134,Machine Learning Engineer,90000,109000,3.2,Triplebyte,Remote,"San Francisco, CA",51 to 200 employees,2015,9,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
135,Machine Learning Engineer,90000,109000,3.2,Triplebyte,Remote,"San Francisco, CA",51 to 200 employees,2015,9,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
136,Senior Data Engineer,90000,109000,4.9,Lendio,"Lehi, UT","Lehi, UT",201 to 500 employees,2011,13,Company - Private,Lending,Finance,$5 to $10 million (USD)
137,Data Scientist,90000,109000,4.2,Upstart,"San Mateo, CA","San Mateo, CA",201 to 500 employees,2012,12,Company - Private,Lending,Finance,$1 to $2 billion (USD)
138,Data Analyst,90000,109000,4.5,Envision LLC,"San Francisco, CA","Saint Louis, MO",201 to 500 employees,1994,30,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
139,Data Engineer,90000,109000,4.8,AppLovin,"Palo Alto, CA","Palo Alto, CA",201 to 500 employees,2012,12,Company - Private,Video Games,Media,$100 to $500 million (USD)
